Respondent,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,WebFrameWorkedWith,MiscTechWorkedWith
1394,C#;JavaScript;SQL;Other(s):,Microsoft SQL Server;MySQL;SQLite,Android,ASP.NET;jQuery,Cordova
1399,Assembly;C;C++;C#;HTML/CSS;Java;Kotlin;Python;Ruby;SQL;Swift,MySQL;Oracle;SQLite,Android;AWS;Docker;iOS,,Hadoop;TensorFlow;Unity 3D
1414,C;C++;Java;SQL,MongoDB;MySQL;SQLite,Android,,
1420,Java;JavaScript,Firebase;SQLite,Android,React.js,Node.js
1433,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;SQL,DynamoDB;Elasticsearch;Firebase;MongoDB;MySQL,AWS;Linux,Spring,Node.js
1445,C;C++;C#;Java;SQL;VBA,Firebase;SQLite,Android;Windows,,.NET
1453,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;R;Scala;SQL;VBA,Elasticsearch;MongoDB;MySQL;Oracle;Redis,AWS;Docker;Linux;Slack;Windows,jQuery,Ansible;Node.js
1464,C;C++;HTML/CSS;Java;JavaScript;PHP;SQL,MySQL;SQLite,Android;Windows,ASP.NET;Other(s):,.NET
1465,Java,MySQL;Oracle,,Spring,
1467,C++;JavaScript;TypeScript,Microsoft SQL Server;PostgreSQL;SQLite,Arduino;AWS;Slack,Angular/Angular.js;Express,Node.js
1470,C;C++;Java;JavaScript,MongoDB;SQLite,Android,,
1471,Bash/Shell/PowerShell;Dart;Go;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;Scala;TypeScript,Cassandra;Couchbase;Elasticsearch;Firebase;MariaDB;MySQL;PostgreSQL;Redis;SQLite,Android;AWS;Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;MacOS;Raspberry Pi;Slack;WordPress,Angular/Angular.js;Django;Express;Flask;Ruby on Rails,Hadoop;Node.js;TensorFlow
1500,C++;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Oracle;PostgreSQL,,Angular/Angular.js;Spring,
1501,Assembly;Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;Python;SQL,Firebase;Oracle;PostgreSQL;SQLite,Android;Google Cloud Platform;Linux;Slack;Windows,ASP.NET,.NET;.NET Core
1506,C;C++;Java,,Linux;Windows,,
1517,Bash/Shell/PowerShell;C;Go;Java;Python;Scala;SQL,Couchbase;Elasticsearch;PostgreSQL,AWS;Docker;Linux;MacOS,,Apache Spark;Chef;Hadoop
1540,Bash/Shell/PowerShell;Java;Ruby,MySQL;Redis,AWS;Linux,Ruby on Rails,Chef
1562,C#;HTML/CSS;JavaScript;SQL;VBA,Microsoft SQL Server,Microsoft Azure;Windows,ASP.NET;jQuery,.NET
1571,HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,Firebase;MongoDB;MySQL;SQLite,Android,Angular/Angular.js;React.js,
1575,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;SQL,MariaDB;MySQL,Android;Arduino;Windows,jQuery;Spring,Pandas
1584,C#;JavaScript;SQL,Microsoft SQL Server;MySQL,AWS,Angular/Angular.js;ASP.NET;jQuery,.NET
1587,HTML/CSS;Java;JavaScript;PHP;SQL,MySQL,Linux;Windows,Laravel,
1605,C++;Python,Elasticsearch;MongoDB,Linux,Django;Flask,Torch/PyTorch
1610,C#;Java,,Windows,,.NET
1618,Java,DynamoDB;Elasticsearch;MongoDB;MySQL;Oracle,AWS;Docker;Windows,jQuery;Spring,
1632,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL,Elasticsearch;MongoDB;PostgreSQL,Slack,Spring,
